naziv,maticnibroj,mesto,sifradelatnosti,datumregistracije,lat,lon,sajt,postojanje,prilagodljivost,pismo,stranijezik
УДРУЖЕЊЕ ОШТЕЋЕНИХ ОД ПАДАВИНА ГРАДА,28281137,Панчево,9499,14.05.19 10:56,,,,0,,,
"""Плесни студио Clarus""",28085206,Панчево,9499,08.06.12 12:30,,,,0,,,
"УДРУЖЕЊЕ ""БАЛТАЗАР 2016"" ЈАБУКА",28093209,Јабука,9499,16.10.12 10:09,,,,0,,,
Удружење грађана Акустик,28148135,Банатски Брестовац,9499,24.06.14 08:11,,,,0,,,
"КУЛТУРНО - УМЕТНИЧКИ ""КЛУБ 100""",08777373,Панчево,9499,01.04.11 02:45,,,,0,,,
"Друштво љубитеља средњовековне уметности ""Wekant""",08856559,Банатско Ново Село,9499,11.04.11 08:58,,,,0,,,
"""ЈУГОСЛОВЕНСКИ ЕТНО ЦЕНТАР""",08760543,Панчево,9499,17.06.11 10:06,,,,0,,,
"""Женска Акција Креативних Идеја""",08888787,Долово,9499,21.06.11 11:03,,,,0,,,
"Друштво за међукултурни дијалог ""БАНАТИКА""",08906912,Панчево,9499,24.06.11 09:07,,,,0,,,
Удружење академика духовних наука,28021518,Панчево,9499,25.08.10 12:46,,,,0,,,
"УДРУЖЕЊЕ ГРАЂАНА ""CULTUS"" ПАНЧЕВО",28091397,Панчево,9499,18.09.12 10:25,,,,0,,,
"Удружење ""Старчевачки паори""",28018118,Старчево,9499,01.07.10 09:39,,,,0,,,
"Удружење избеглих и прогнаних лица ""Крајина"" Панчево",28020775,Панчево,9499,04.08.10 12:07,,,,0,,,
"МАКЕДОНСКО УДРУЖЕЊЕ ""КАЧАРЕВО"" КАЧАРЕВО",28021836,Качарево,9499,25.08.10 01:25,,,,0,,,
"Удружење грађана ""Центар за естетику и козметологију""",28029985,Панчево,9499,21.12.10 08:47,,,,0,,,
"ДРУШТВО ЗА УНАПРЕЂЕЊЕ ОБРАЗОВАЊА И ПРОМОЦИЈУ НАУКЕ ""СУПЕРНОВА""",08905924,Панчево,9499,13.01.11 09:32,,,,0,,,
ЦЕНТАР ЗА ЕВРОПСКЕ СТРАТЕГИЈЕ - ЦЕС,28031572,Панчево,9499,14.01.11 01:46,,,,0,,,
Удружење за рекреацију у Панчеву,28210469,Панчево,9499,07.09.16 12:52,,,,0,,,
"Удружење ""ДЕНЕТА""",28220111,Панчево,9499,20.01.17 10:06,,,,0,,,
ЦЕНТАР ЗА ОПШТЕ ОБРАЗОВАЊЕ,28160119,Панчево,9499,12.12.14 07:56,,,,0,,,
"Удружење пољопривредних произвођача ""ПАНЧЕВАЦ""",28000626,Панчево,9499,20.11.09 10:36,,,,,,,
"Друштво кампера, наутичара и љубитеља природе",28002793,Омољица,9499,23.12.09 01:40,,,,,,,
"Клуб одгајивача голубова српских високолетача СРБ-151-""Јабука""",08861285,Јабука,9499,14.01.10 02:04,,,,,,,
"Удружење стручњака ""CODEX 100""",28005610,Панчево,9499,05.02.10 09:57,,,,,,,
Удружење Рома Јужног Баната ЈУБАН,08882363,Панчево,9499,18.03.10 12:37,,,,,,,
Удружење пољопривредних произвођача Глогоњ,28012837,Глогоњ,9499,23.04.10 10:27,,,,,,,
"Удружење ""ПНФ Асоцијација Србија"".",28013299,Панчево,9499,29.04.10 12:47,,,,,,,
"Друштво одгајивача расне живине, голубова, кунића и птица Панчево",08098514,Панчево,9499,30.04.10 01:36,,,,,,,
"Клуб удружења сточара ""Црно јагње"" Старчево",08903387,Старчево,9499,04.05.10 11:40,,,,,,,
"Удружење ""Наша кућа Панчево""",28013566,Долово,9499,05.05.10 01:58,,,,,,,
Регионална организација за превенцију ХИВ-а и АИДС-а - РОДА,28016140,Панчево,9499,07.06.10 10:34,,,,,,,
"""УДРУЖЕЊЕ КЊИЖЕВНИКА И КЊИЖЕВНИХ ПРЕВОДИЛАЦА ПАНЧЕВА""",08737789,Панчево,9499,11.06.10 11:42,,,,,,,
"УДРУЖЕЊЕ РАТНИХ ВОЈНИХ ИНВАЛИДА, МИРНОДОПСКИХ ИНВАЛИДА И ИНВАЛИДА РАДА - БАНАТСКИ БРЕСТОВАЦ",08753903,Банатски Брестовац,9499,15.06.10 09:17,,,,,,,
"Радничко културно уметничко друштво  ""ЈЕДИНСТВО - ИСП"" Панчево",08130604,Панчево,9499,18.06.10 11:53,,,,,,,
"""ПАНЧЕВО ФЕСТ""",28017499,Панчево,9499,23.06.10 11:46,,,,,,,
"Центар за едукацију и истраживање у медицини, екологији и социологији",28019335,Панчево,9499,19.07.10 01:06,,,,,,,
Удружење ратних војних инвалида и породица погинулих бораца Панчево,28028407,Панчево,9499,03.12.10 10:16,,,,,,,
"Удружење одгајивача голубова српских високолетача  СРБ-461 "" Богојављање"" Старчево",08894108,Старчево,9499,13.01.11 02:21,,,,,,,
Банатски окружни савез одгајивача голубова српских високолетача.,08818274,Панчево,9499,13.01.11 09:09,,,,,,,
"Удружење одгајивача голубова српских високолетача СРБ-254 ""Долово""- Долово",28031980,Долово,9499,19.01.11 08:34,,,,,,,
"Општински савез одгајивача голубова српских високолетача ""ЛЕТАЧ"" Панчево",28032285,Панчево,9499,21.01.11 09:10,,,,,,,
"Удружење одгајивача голубова српских високолетача СРБ-397 ""EКИПА""-Панчево",28032501,Панчево,9499,21.01.11 11:18,,,,,,,
Удружење заштиту одгој и такмичење голубова српских високолетача ГОЛУБ -  Панчево,28032684,Панчево,9499,26.01.11 08:55,,,,,,,
"Удружење одгајивача голубова српских високолетача СРБ-713 ""Елита"" Панчево",28033044,Панчево,9499,28.01.11 09:21,,,,,,,
"Удружење одгајивача голубова српских високолетача СРБ-336 ""Никола Тесла""- Панчево",28033095,Панчево,9499,28.01.11 09:56,,,,,,,
"""Богопознање""",08590907,Панчево,9499,28.01.11 10:44,,,,,,,
"Клуб Савеза инвалида рада Месне организације ""Нови град"" Панчево",08537097,Панчево,9499,31.01.11 10:46,,,,,,,
АСОЦИЈАЦИЈА ПОТРОШАЧА ГРАДА ПАНЧЕВА,08851174,Панчево,9499,03.02.11 12:19,,,,,,,
УДРУЖЕЊЕ ОДГАЈИВАЧА ГОЛУБОВА СРПСКИХ ВИСОКОЛЕТАЧА СРБ-818-ОМОЉИЦА,08901228,Омољица,9499,08.02.11 01:35,,,,,,,
"УДРУЖЕЊЕ ЈЕВРЕЈА И ЊИХОВИХ ПРИЈАТЕЉА ВОЈВОДИНА ИЗРАЕЛ ""ШАЛОМ ТОРА"" ПАНЧЕВО",08229538,Панчево,9499,17.02.11 03:23,,,,,,,
"Удружење одгајивача голубова српских високолетача СРБ-28 ""Војловица"" Панчево",28035497,Панчево,9499,21.02.11 09:22,,,,,,,
"Удружење одгајивача голубова српских високолетача СРБ-313 ""Котеж""- Панчево",28035446,Панчево,9499,21.02.11 12:24,,,,,,,
"Удружење одгајивача голубова српских високолетача СРБ-196 ""Младост"" Омољица",08905100,Омољица,9499,22.02.11 02:11,,,,,,,
"НВО за помоћ деци и младима у невољи ""ДЕЧИЈИ ОСМЕХ""",28036205,Панчево,9499,23.02.11 10:06,,,,,,,
"Удружење за заштиту, одгој и такмичење голубова српских високолетача СРБ-811 ""ИЛИНДЕН""-Јабука",28036400,Јабука,9499,24.02.11 03:34,,,,,,,
"Удружење одгајивача голубова српских високолетача СРБ-577 ""Глогоњ 06"" - Глогоњ",28036485,Глогоњ,9499,25.02.11 03:06,,,,,,,
САВЕТОДАВНИ ПОТРОШАЧКИ ЦЕНТАР ПАНЧЕВО,08690677,Панчево,9499,25.02.11 09:48,,,,,,,
"""ДИНАМИКА""",28035756,Панчево,9499,28.02.11 10:04,,,,,,,
"Удружење грађана ДРУШТВО ЗА БОРБУ ПРОТИВ РАКА ""ПАНЧЕВО""",08847223,Панчево,9499,02.03.11 12:50,,,,,,,
"Удружење ""За породицу""",28037830,Панчево,9499,03.03.11 09:31,,,,,,,
УДРУЖЕЊЕ ЗА ЈАВНО ЗДРАВЉЕ ГРАЂАНА ПАНЧЕВА ПаО2,08840938,Панчево,9499,08.03.11 09:33,,,,,,,
Организација резервних војних старешина Града Панчева,08098727,Панчево,9499,10.03.11 09:33,,,,,,,
Савез возача и аутомеханичара Панчева,08087822,Панчево,9499,10.03.11 11:24,,,,,,,
ДРУШТВО ЗА ЦЕРЕБРАЛНУ ПАРАЛИЗУ И СРОДНА ОШТЕЋЕЊА ПАНЧЕВО,08163375,Панчево,9499,17.03.11 09:25,,,,,,,
"УДРУЖЕЊЕ МАКЕДОНАЦА ""ГЕРМАН"" ГЛОГОЊ & ПАНЧЕВО",28039565,Глогоњ,9499,17.03.11 09:48,,,,,,,
"Удружење ""Психолошки студио""",28039620,Панчево,9499,17.03.11 10:09,,,,,,,
ДРУШТВО ПЧЕЛАРА ПОДРУЖНИЦА ПАНЧЕВО,08123519,Панчево,9499,21.03.11 09:20,,,,,,,
Удружење ратних и мирнодопских војних инвалида града Панчева,08680817,Панчево,9499,21.03.11 11:02,,,,,,,
"КУЛТУРНО УМЕТНИЧКО ДРУШТВО ""НЕОЛИТ""",28040423,Старчево,9499,23.03.11 09:50,,,,,,,
"Удружење одгајивача голубова српских високолетача СРБ-796 ""Клуб 07"" - Долово",28041047,Долово,9499,29.03.11 02:16,,,,,,,
Арт зона,28040962,Панчево,9499,29.03.11 12:42,,,,,,,
"Удружење одгајивача голубова српских високолетача СРБ-17 ""Маргита"" - Панчево",28041276,Панчево,9499,30.03.11 02:10,,,,,,,
"""ПАНЧЕВАЧКА АЛТЕРНАТИВА""",28041349,Панчево,9499,31.03.11 09:35,,,,,,,
"Удружење одгајивача голубова српских високолетача СРБ-334 ""Вислије"" Качарево",08813850,Качарево,9499,05.04.11 08:32,,,,,,,
"Подружница Гранске организације пензионисаних радника електропривреде Србије у Војводини ""Електровојводина"" Нови Сад, Електродистрибуција ""Панчево"" у Панчеву",08665087,Панчево,9499,05.04.11 12:30,,,,,,,
"""ЛОВАЧКО ДРУШТВО ОМОЉИЦА""",08087369,Омољица,9499,12.04.11 03:24,,,,,,,
"Центар за духовност и креативност ""Устани""",28042574,Панчево,9499,12.04.11 09:01,,,,,,,
"УДРУЖЕЊЕ ЖЕНА РАЗЛИЧИТИХ НАЦИОНАЛНОСТИ ""ДУГА"" ПАНЧЕВО",08735506,Панчево,9499,13.04.11 01:30,,,,,,,
УДРУЖЕЊЕ СРБА ИЗ РЕПУБЛИКЕ СРПСКЕ И РЕПУБЛИКЕ СРПСКЕ КРАЈИНЕ ПАНЧЕВО,08273090,Панчево,9499,14.04.11 09:28,,,,,,,
"Удружење грађана ""Панчевачки Ратари""",08886300,Долово,9499,14.04.11 11:23,,,,,,,
"КЛУБ ОДГАЈИВАЧА КУНИЋА И СИТНИХ ЖИВОТИЊА ""ТАМИШ"" ПАНЧЕВО",08160180,Панчево,9499,14.04.11 12:13,,,,,,,
"""Међуопштинска организација глувих и наглувих"" Панчево",08089396,Панчево,9499,21.04.11 12:09,,,,,,,
Друштво за борбу против шећерне болести,08163197,Панчево,9499,27.04.11 10:55,,,,,,,
"""МИ""",28044623,Панчево,9499,29.04.11 09:59,,,,,,,
"""УПОЗНАЈМО СЕ""",08895457,Панчево,9499,04.05.11 08:41,,,,,,,
"Удружење грађана ""Други Нови Центар"" Панчево",08765219,Панчево,9499,05.05.11 11:28,,,,,,,
"Удружење виноградара и винара ""Свети Трифун""",08747237,Долово,9499,09.05.11 03:39,,,,,,,
"Културно Уметничко Друштво ""Аксентије Максимовић"" Долово",08658005,Долово,9499,10.05.11 01:36,,,,,,,
ДРУШТВО ЗА ПОМОЋ МЕНТАЛНО НЕДОВОЉНО РАЗВИЈЕНИМ ОСОБАМА ГРАДА ПАНЧЕВА,08138958,Панчево,9499,10.05.11 10:34,,,,,,,
КУЛТУРНО ПРОСВЕТНА ЗАЈЕДНИЦА ПАНЧЕВО,08027463,Панчево,9499,11.05.11 01:04,,,,,,,
ЛОВАЧКО УДРУЖЕЊЕ ПАНЧЕВО,08084980,Панчево,9499,12.05.11 03:47,,,,,,,
"Удружење одгајивача голубова српских високолетача СРБ - 714 ""Мачори"" Банатско Ново Село",28045441,Банатско Ново Село,9499,12.05.11 08:26,,,,,,,
"Удружење таксиста ""WEIFERT TAXI"" Панчево",08613745,Панчево,9499,12.05.11 10:40,,,,,,,
"АСОЦИЈАЦИЈА ЗА ЦЕРЕБРАЛНУ И ДЕЧИЈУ ПАРАЛИЗУ ЈУЖНОБАНАТСКОГ ОКРУГА ""ДУГА СТРЕЛА""",08892415,Панчево,9499,13.05.11 08:57,,,,,,,
Удружење грађана одред извиђача «НАДЕЛ»,08782059,Старчево,9499,13.05.11 09:12,,,,,,,
Refraction тим - иницијатива за креативно деловање,08877742,Панчево,9499,13.05.11 09:47,,,,,,,
"""Удружење повртара Глогоњ""",08866112,Глогоњ,9499,16.05.11 09:03,,,,,,,
Happy World - Хуманитарно удружење за бригу о деци,08723591,Панчево,9499,16.05.11 09:28,,,,,,,
Удружење ликовних уметника Панчева,08172633,Панчево,9499,16.05.11 11:46,,,,,,,
"КЛУБ ФИЛМСКИХ И ФОТО АМАТЕРА ""ПОЊАВИЦА"" БАНАТСКИ БРЕСТОВАЦ",08147574,Банатски Брестовац,9499,18.05.11 01:42,,,,,,,
Учитељско панчевачко друштво,08757437,Панчево,9412,18.05.11 03:50,,,,,,,
"Ловачко друштво ""Јаребица"" Старчево",08087334,Старчево,9499,18.05.11 10:04,,,,,,,
"Аматерско музичко друштво ""Тинерету"" Банатско Ново Село",08901759,Банатско Ново Село,9499,20.05.11 09:45,,,,,,,
"""Савез удружења припадника македонске националне заједнице у Србији""",28047266,Панчево,9499,20.05.11 09:53,,,,,,,
"УДРУЖЕЊЕ ГРАЂАНА ""ПАУНОВА 3 АНД ЛУЦИА""",08870535,Панчево,9499,20.05.11 10:16,,,,,,,
"Удружење одгајивача оваца ""Банат"" - Панчево",08789029,Панчево,9412,20.05.11 12:01,,,,,,,
"""ДРУШТВО РОМ ПАНЧЕВО""",08874212,Панчево,9499,23.05.11 12:09,,,,,,,
"""Удружење педагога физичке културе града Панчева""",08908575,Панчево,9499,24.05.11 10:08,,,,,,,
"""ДДТ - креативни центар за покрет""",17517961,Панчево,9499,24.05.11 12:29,,,,,,,
"""Ловачко Друштво Зец- Панчево""",08087393,Панчево,9499,26.05.11 12:30,,,,,,,
"Удружење ""Ловачко друштво Глогоњ"" Глогоњ",08085765,Глогоњ,9499,27.05.11 12:15,,,,,,,
ФРИЗЕРСКИ КЛУБ ПАНЧЕВА,08868026,Панчево,9499,30.05.11 03:38,,,,,,,
"УДРУЖЕЊЕ ПРОФЕСИОНАЛНИХ МУЗИЧАРА ""ЛИРА"" ПАНЧЕВО",08088403,Панчево,9499,30.05.11 09:32,,,,,,,
"Удружење грађана за одрживи развој ""Банатска акција""",08907455,Панчево,9499,30.05.11 10:25,,,,,,,
"Асоцијација ""Рагби Озон""",28048432,Панчево,9499,30.05.11 10:40,,,,,,,
Удружење естрадних уметника БАЛКАН Панчево,08823871,Панчево,9499,31.05.11 02:11,,,,,,,
"Удружење одгајивача голубова српских високолетача  СРБ-572 ""Банатски Брестовац"" Банатски Брестовац",08926824,Банатски Брестовац,9499,01.06.11 09:12,,,,,,,
УДРУЖЕЊЕ ПОВРТАРА БАНАТСКИ БРЕСТОВАЦ,08777365,Банатски Брестовац,9499,02.06.11 01:40,,,,,,,
"Удружење одгајивача голубова писмоноша ""НОВОСЕЛАЦ""",28049064,Банатско Ново Село,9499,03.06.11 12:41,,,,,,,
"ДРАМСКИ СТУДИО ""АТЕЉЕ МЛАДИХ"" ПАНЧЕВО",08089426,Панчево,9499,06.06.11 02:53,,,,,,,
"""Друштво лекара Војводине Српског лекарског друштва - Подружница Панчево""",08138419,Панчево,9412,06.06.11 11:20,,,,,,,
"КУЛТУРНО-УМЕТНИЧКО ДРУШТВО ""ВАСИЛ ХАЏИМАНОВ""",08885419,Јабука,9499,07.06.11 11:16,,,,,,,
"Културно-Уметничко Друштво ""Д.А.К"", Банатско Ново Село",08788596,Банатско Ново Село,9499,08.06.11 10:05,,,,,,,
"Друштво Пријатеља Животиња ""ЉУБИМЦИ"" Панчево",08629536,Панчево,9499,08.06.11 12:59,,,,,,,
Општински савез одгајивача голубова српских високолетача Панчево,28050097,Панчево,9499,13.06.11 01:58,,,,,,,
"""ДРУШТВО ЗА ОЧУВАЊЕ СЕЋАЊА ХОЛОКАУСТ""",08851204,Панчево,9499,16.06.11 02:34,,,,,,,
"Аматерско Музичко Друштво ""Култура""",08088250,Банатско Ново Село,9499,16.06.11 10:00,,,,,,,
"КУЛТУРНО УМЕТНИЧКО ДРУШТВО БАНАТСКИХ БУГАРА - ПАЛЋЕНА ""ИВАНОВО 1868"" ИВАНОВО",08727368,Иваново,9499,16.06.11 11:05,,,,,,,
Међуопштинско удружење заштите на раду јужнобанатског округа,08671117,Панчево,9499,17.06.11 01:44,,,,,,,
Феријални савез Панчево,08154759,Панчево,9499,21.06.11 10:02,,,,,,,
"Удружење грађана за развој и коришћење обновљивих извора енергије ""Фебус""",08902607,Панчево,9499,24.06.11 11:41,,,,,,,
"Друштво рома ""Црни Бисери"" Јабука",08754772,Јабука,9499,24.06.11 12:58,,,,,,,
Удружење сликара аматера СЛИКАР,08720614,Панчево,9499,27.06.11 01:27,,,,,,,
"УДРУЖЕЊЕ РОМА ""ДАНИЦА"" ПАНЧЕВО",08869014,Јабука,9499,28.06.11 03:31,,,,,,,
НАЦИОНАЛНИ САВЕЗ ПОТРОШАЧА СРБИЈЕ,28052235,Панчево,9499,28.06.11 10:43,,,,,,,
Савез одгајивача голубова српских високолетача Банатског регионалног савеза,28052294,Панчево,9499,28.06.11 11:27,,,,,,,
"УДРУЖЕЊЕ ГРАЂАНА ""РИБОЛОВАЦ 013""",28052596,Јабука,9499,29.06.11 02:02,,,,,,,
Туристички Клуб Сланинијада,08905886,Качарево,9499,29.06.11 08:38,,,,,,,
УДРУЖЕЊЕ ИНВАЛИДА РАДА ОМОЉИЦА,28052839,Омољица,9499,01.07.11 12:47,,,,,,,
ЕКО ЗОНА ПОЊАВИЦА,28053606,Банатски Брестовац,9499,08.07.11 02:46,,,,,,,
"НЕВЛАДИНА ОРГАНИЗАЦИЈА ""ЈУЖНИ БАНАТ""",08735778,Панчево,9499,13.07.11 03:05,,,,,,,
Удружење бораца народноослободилачког рата града Панчева,28053851,Панчево,9499,13.07.11 09:49,,,,,,,
УДРУЖЕЊЕ ПЕНЗИОНЕРА НИС ПЕТРОЛ-РАФИНЕРИЈА НАФТЕ ПАНЧЕВО,28053894,Панчево,9499,13.07.11 10:11,,,,,,,
"НЕВЛАДИНА ОРГАНИЗАЦИЈА ""АСОЦИЈАЦИЈА БАНАТ - УЛ""",08903409,Долово,9499,14.07.11 01:34,,,,,,,
"Удружење одгајивача голубова српских високолетача СРБ - 398 ""Стрелиште"" Панчево",08778787,Панчево,9499,21.07.11 11:36,,,,,,,
"Удружење риболоваца и наутичара ""Марко Кулић"" Панчево",28054858,Панчево,9499,22.07.11 03:25,,,,,,,
"""НОВА +""",28054815,Панчево,9499,22.07.11 03:29,,,,,,,
"""ЕЦО13""",08824924,Панчево,9499,22.07.11 09:05,,,,,,,
Iron Maiden Serbia Fan Club,08836698,Панчево,9499,25.07.11 10:12,,,,,,,
"""Хор и оркестар Јован Бандур""",28055340,Панчево,9499,27.07.11 02:52,,,,,,,
"""Општински савез здравствених радника Панчево""",08141681,Панчево,9412,28.07.11 08:52,,,,,,,
"Удружење грађана ван линијских превозника Србије ""Пегаз""",08856796,Панчево,9499,29.07.11 08:55,,,,,,,
Прва Академија Ирског Плеса,28055455,Панчево,9499,29.07.11 10:03,,,,,,,
"УДРУЖЕЊЕ ЉУБИТЕЉА СТАРИХ АУТОМОБИЛА ""БУБА""  ПАНЧЕВО",08671826,Јабука,9499,03.08.11 10:06,,,,,,,
"Арт клуб ""Дукат""",08898316,Панчево,9499,04.08.11 12:10,,,,,,,
Активни млади у срећној Европи,28056672,Панчево,9499,05.08.11 08:29,,,,,,,
"Културно уметничко друштво ""Вељко Влаховић"" Качарево",08598525,Качарево,9499,12.08.11 11:13,,,,,,,
"Савез хранитеља Србије ""Више од породице""",28057407,Панчево,9499,12.08.11 12:06,,,,,,,
МЕЂУОПШТИНСКО УДРУЖЕЊЕ ЦИВИЛНИХ ИНВАЛИДА РАТА ПАНЧЕВО,08087300,Панчево,9499,24.08.11 03:23,,,,,,,
Удружење грађана Креативни културни клуб,08801762,Старчево,9499,25.08.11 11:09,,,,,,,
Музички центар,08742081,Панчево,9499,29.08.11 02:52,,,,,,,
Грађани и запослени у јавним предузећима,28058462,Панчево,9499,29.08.11 10:37,,,,,,,
"""ОМЛАДИНСКИ МОТИВАЦИОНИ ЦЕНТАР""",08746753,Панчево,9499,06.09.11 09:44,,,,,,,
Немачко удружење Дунав Омољица,28060343,Омољица,9499,14.09.11 12:00,,,,,,,
Удружење грађана Културни Центар Лица са Инвалидитетом,28060653,Панчево,9499,16.09.11 09:17,,,,,,,
"""Регионални форум за међународне и стратешке студије""",28061773,Панчево,9499,30.09.11 10:32,,,,,,,
"Удружење банатских бугара ""Иваново-Банат"" Иваново",28062729,Иваново,9499,11.10.11 10:39,,,,,,,
Клуб љубитеља железнице Панчево,08210489,Панчево,9499,18.10.11 11:11,,,,,,,
"Удружење ""Ловачко друштво Сиви Соко"" Качарево",28063679,Качарево,9499,21.10.11 10:22,,,,,,,
УДРУЖЕЊЕ ГРАЂАНА НОВОСЕЉАНСКИ ПАОРИ,08905819,Банатско Ново Село,9499,24.10.11 11:47,,,,,,,
"""Удружење здравог начина живота - НАЗАРОВ""",28065221,Панчево,9499,07.11.11 10:04,,,,,,,
"УДРУЖЕЊЕ ЉУБИТЕЉА КОТЛИЋА ""КОТЛИЋ"" ГРАДА ПАНЧЕВА",28066937,Панчево,9499,24.11.11 09:32,,,,,,,
УДРУЖЕЊЕ ТАКСИСТА ЈЕФТИН ПРЕВОЗ ПАНЧЕВО,28068441,Панчево,9499,13.12.11 10:42,,,,,,,
Камерата Панчево,28068816,Панчево,9499,14.12.11 10:17,,,,,,,
"УДРУЖЕЊЕ ""ARS VIVENDI""",28069219,Панчево,9499,19.12.11 10:32,,,,,,,
Савез савеза друштава одгајивача ситних животиња и спортских голубова Републике Србије,28069472,Панчево,9499,20.12.11 11:29,,,,,,,
"УДРУЖЕЊЕ ГРАЂАНА ""ОМОЉИЧКИ ПАОР"" ОМОЉИЦА",28069880,Омољица,9499,26.12.11 09:35,,,,,,,
"УДРУЖЕЊЕ ЉУБИТЕЉА ""ESPRESSO CAFE VAGUS""",28069979,Качарево,9499,27.12.11 02:21,,,,,,,
УДРУЖЕЊЕ ИНВАЛИДА РАДА СТАРЧЕВО,28070721,Старчево,9499,06.01.12 09:30,,,,,,,
УДРУЖЕЊЕ ИНВАЛИДА РАДА ГЛОГОЊ,28070713,Глогоњ,9499,06.01.12 09:36,,,,,,,
Центар потрошача Панчево,28070802,Панчево,9499,06.01.12 09:37,,,,,,,
"Удружење грађана ""Супер фит""",28071108,Панчево,9499,12.01.12 10:30,,,,,,,
"УДРУЖЕЊЕ ИНВАЛИДА РАДА ""НИКОЛА ТЕСЛА"" ПАНЧЕВО",28071264,Панчево,9499,13.01.12 09:45,,,,,,,
УДРУЖЕЊЕ ИНВАЛИДА РАДА ЈАБУКА,28071493,Јабука,9499,18.01.12 10:13,,,,,,,
ДОБРОВОЉНО ВАТРОГАСНО ДРУШТВО БАНАТСКИ БРЕСТОВАЦ,28072147,Банатски Брестовац,9499,27.01.12 11:14,,,,,,,
"УДРУЖЕЊЕ ГРАЂАНА ""ДОЛОВАЧКИ ПАОРИ"" ДОЛОВО",28073623,Долово,9499,10.02.12 10:44,,,,,,,
"Удружење ""БАНАТСКА ТРУБА"" Банатско Ново Село",28076550,Банатско Ново Село,9499,13.03.12 10:05,,,,,,,
Панчевачка асоцијација за одрживи регионални развој П.А.О.Р.,28076843,Панчево,9499,14.03.12 10:27,,,,,,,
"УДРУЖЕЊЕ ГРАЂАНА ""ИВАНОВАЧКИ ПАОР"" ИВАНОВО",28077602,Иваново,9499,20.03.12 02:11,,,,,,,
ДМО БАНАТ,28077572,Панчево,9499,20.03.12 02:13,,,,,,,
"УДРУЖЕЊЕ ТАКСИ - ПРЕДУЗЕТНИКА ""ПАНЧЕВАЧКИ ТАКСИ""",28078072,Панчево,9412,23.03.12 11:32,,,,,,,
"УДРУЖЕЊЕ ГРАЂАНА ""ТЕМПО"" ПАНЧЕВО",28078943,Панчево,9499,29.03.12 09:36,,,,,,,
"Кинолошко удружење ""Панчево 85""",28078935,Панчево,9499,29.03.12 12:51,,,,,,,
"ХУМАНИТАРНО УДРУЖЕЊЕ ""ГЛАМОЧАНИ СВОМЕ КРАЈУ-ДЈЕЛОМ""",28079141,Панчево,9499,02.04.12 10:44,,,,,,,
"""ДЕЛИБЛАТИКА""",28081928,Панчево,9499,26.04.12 09:57,,,,,,,
"УДРУЖЕЊЕ ГРАЂАНА ""PIZZA MAN"", ПАНЧЕВО",28082789,Панчево,9499,10.05.12 10:19,,,,,,,
"Друштво за негу природних наука ""СКУП""",28084358,Панчево,9499,01.06.12 11:04,,,,,,,
РОТАРИ КЛУБ ПАНЧЕВО - МИХАЈЛО ПУПИН,2808Долово,Панчево,9499,04.06.12 10:13,,,,,,,
"""Асоцијација интелектуалаца за развој и едукацију ПРОСПЕРА ПА""",28084714,Панчево,9499,05.06.12 10:28,,,,,,,
"УДРУЖЕЊЕ ГРАЂАНА ""ПОЉОПРИВРЕДНИК"" У СТАРЧЕВУ",28085877,Старчево,9499,18.06.12 09:31,,,,,,,
"УДРУЖЕЊЕ ЗА ЗАШТИТУ И ОДГОЈ ПТИЦА ""АВИС""",28085826,Панчево,9499,18.06.12 09:33,,,,,,,
"УДРУЖЕЊЕ ВИНАРА И ВИНОГРАДАРА ""ОРФЕЛИН"" ПАНЧЕВО",28085796,Панчево,9499,18.06.12 09:50,,,,,,,
"Удружење малих акционара ""ИНД СКРОБА ЈАБУКА"" из Панчева",28086059,Панчево,9499,21.06.12 10:51,,,,,,,
"УДРУЖЕЊЕ ТАКСИСТА И ВАНЛИНИЈСКИХ ПРЕВОЗНИКА ""ЕАГЛЕ"" ПАНЧЕВО",28087012,Панчево,9499,05.07.12 10:35,,,,,,,
УДРУЖЕЊЕ ЛОВАЧКО ДРУШТВО ЈЕЛЕН БНС,28087977,Банатско Ново Село,9499,17.07.12 09:43,,,,,,,
УДРУЖЕЊЕ ЉУБИТЕЉА СПОРТА И РИБОЛОВА ИВАНОВО,28088477,Иваново,9499,23.07.12 09:57,,,,,,,
"""Центар за естетику и лепоту""",28088736,Панчево,9499,26.07.12 09:45,,,,,,,
"""РОМСКА ЗАЈЕДНИЦА БАНАТСКО НОВО СЕЛО"", Банатско Ново Село, И.Л. Рибар 39",28089279,Банатско Ново Село,9499,07.08.12 10:14,,,,,,,
"""Креација рекреација""",28089295,Панчево,9499,08.08.12 01:00,,,,,,,
Иницијатива за промене Србија,28089872,Панчево,9499,17.08.12 10:18,,,,,,,
"Удружење грађана за социјално предузетништво ""ЗДРАВА ХРАНА БЕЗ ГЛУТЕНА""",28089813,Панчево,9499,17.08.12 10:25,,,,,,,
"Удружење љубитеља Парка природе ""Поњавица""",28089830,Омољица,9499,17.08.12 10:26,,,,,,,
Удружење Нови Зелдош,28089856,Банатско Ново Село,9499,17.08.12 10:28,,,,,,,
"""УДРУЖЕЊЕ НЕМАЧКЕ НАЦИОНАЛНЕ МАЊИНЕ ГРАДА ПАНЧЕВА И ЈУЖНОГ БАНАТА""",28090668,Панчево,9499,04.09.12 10:01,,,,,,,
